T/K,Pexp/kPa,x,¦Ñ/molar dm-3),Z
380.025,1624.5,1,0.590980635,0.86996821
380.026,1224.3,1,0.42843513,0.904395829
380.02,912.63,1,0.310592936,0.929963276
380.021,675.02,1,0.225154323,0.948850608
380.026,496.49,1,0.163216,0.962727883
380.033,363.67,1,0.118303846,0.972873536
380.032,265.63,1,0.085757373,0.980290001
380.025,193.62,1,0.062169149,0.985671526
380.039,140.89,1,0.045055046,0.989640928
380.039,102.41,1,0.03265639,0.992464793
370.02,3185.9,1,1.551315924,0.667537667
370.017,2592.5,1,1.124793352,0.749192519
370.016,2039.9,1,0.815497439,0.813082958
370.018,1567.6,1,0.591222453,0.861847786
370.02,1184.7,1,0.428610998,0.898439764
370.016,884.84,1,0.310713845,0.925662613
370.016,655.34,1,0.225242257,0.945726129
370.02,482.47,1,0.16328195,0.96045279
370.028,353.66,1,0.118358804,0.97122504
370.027,258.42,1,0.085790348,0.979091685
370.023,188.43,1,0.062191133,0.984831537
370.023,137.15,1,0.04507703,0.988964915
370.021,99.731,1,0.032678373,0.992001794
360.011,2998.4,1,1.552063361,0.645406652
360.011,2468.4,1,1.125298972,0.732826104
360.011,1956.3,1,0.815849174,0.801085539
360.013,1510.3,1,0.591475262,0.853055994
360.015,1145,1,0.428786865,0.892097872
360.014,856.95,1,0.310845746,0.921001317
360.009,635.61,1,0.225341182,0.942336212
360.011,468.41,1,0.163347901,0.958000898
360.006,343.58,1,0.118402771,0.969449867
360.012,251.22,1,0.085834315,0.97778951
360.015,183.22,1,0.062213116,0.983873845
360.008,133.41,1,0.045099013,0.988276071
360.015,97.019,1,0.032689365,0.991513879
350.01,2805.1,1,1.552711872,0.620791994
350.01,2341.8,1,1.12573864,0.714826858
350.009,1871.4,1,0.816167934,0.787910651
350.012,1452.4,1,0.591695097,0.843479285
350.014,1104.8,1,0.428940749,0.885054531
350.013,828.85,1,0.310955663,0.915930207
350.009,615.75,1,0.225418124,0.938653844
350.01,454.28,1,0.163402859,0.955328202
350.008,333.49,1,0.118446738,0.967499667
350.009,243.95,1,0.085856298,0.97637924
350.013,178.01,1,0.062235099,0.982865119
350.011,129.64,1,0.045110005,0.987537373
350.014,94.304,1,0.032700357,0.990971788
340.008,2212.4,1,1.126343185,0.694820886
340.012,1785.4,1,0.816574627,0.773418382
340.009,1393.9,1,0.591991873,0.832903229
340.015,1064.5,1,0.429160583,0.87739842
340.015,800.68,1,0.311109547,0.910367303
340.008,595.87,1,0.225528041,0.934611074
340.012,440.15,1,0.163479801,0.952382588
340.01,323.4,1,0.118501697,0.965367876
340.007,236.73,1,0.085900266,0.97485499
340.016,172.82,1,0.062268074,0.981744092
340.009,125.9,1,0.045131989,0.986779079
340.013,91.586,1,0.032711349,0.990385342
330.011,1697.6,1,0.81691537,0.757354079
330.014,1334.7,1,0.592233691,0.821348129
330.014,1023.7,1,0.429325459,0.869006014
330.01,772.21,1,0.311230456,0.904264161
330.009,575.84,1,0.225615975,0.930197748
330.008,425.94,1,0.163545752,0.949191362
330.006,313.28,1,0.118556655,0.963061411
330.008,229.46,1,0.085933241,0.973173821
330.01,167.58,1,0.062290058,0.980495118
330.01,122.14,1,0.045153972,0.985834345
330.011,88.865,1,0.032722341,0.989753518
320.009,1274.6,1,0.592596418,0.808391587
320.008,982.61,1,0.42958926,0.859678399
320.008,743.66,1,0.311417315,0.897511281
320,555.79,1,0.225758867,0.925305233
320.007,411.74,1,0.163644677,0.945650778
320.009,303.15,1,0.118622606,0.960499197
320.007,222.22,1,0.085988199,0.971301136
320.007,162.37,1,0.062323033,0.979189655
320.01,118.38,1,0.045175955,0.984864596
320.012,86.168,1,0.032744324,0.989037615
400.029,1659.3,1,0.560648983,0.889839097
400.037,922.79,1,0.29495372,0.940628049
400.036,680.65,1,0.213920944,0.956622412
400.034,499.69,1,0.155142792,0.968369797
400.032,365.6,1,0.112511742,0.976973291
400.029,266.83,1,0.081591281,0.983260318
400.018,194.4,1,0.059170006,0.987834516
400.033,141.45,1,0.042905799,0.991197565
400.028,102.82,1,0.031114136,0.993570187
400.029,74.689,1,0.022560901,0.995354554
400.034,54.227,1,0.016358793,0.996635844
400.035,39.363,1,0.011863728,0.997557865
390.029,1606.2,1,0.560743569,0.883298528
390.032,1205.8,1,0.40672229,0.914210386
390.029,896.52,1,0.295003265,0.937141878
390.03,661.97,1,0.213956977,0.954075905
390.025,486.34,1,0.155169817,0.966516746
390.033,356.02,1,0.112525254,0.975645678
390.037,259.94,1,0.081600289,0.982301244
390.028,189.44,1,0.059179014,0.987136608
390.029,137.87,1,0.042914807,0.9906832
390.027,100.23,1,0.03111864,0.993233904
390.033,72.817,1,0.022565405,0.995078576
390.029,52.875,1,0.016363297,0.996441378
390.03,38.373,1,0.011863728,0.997414409
380.019,1553.2,1,0.561045342,0.876179719
380.024,1168.8,1,0.406933982,0.909021815
380.021,870.42,1,0.2951519,0.933350507
380.021,643.44,1,0.21406057,0.951333667
380.026,473.11,1,0.155241882,0.964515039
380.021,346.54,1,0.112583807,0.974179373
380.023,253.11,1,0.081640826,0.981208083
380.022,184.52,1,0.059206039,0.986365304
380.025,134.31,1,0.042932823,0.990092608
380.026,97.661,1,0.031132152,0.992813784
380.029,70.957,1,0.022574414,0.994789326
380.025,51.536,1,0.016372305,0.996225822
380.025,37.397,1,0.011868232,0.997258273
370.021,1499.8,1,0.56129757,0.868526154
370.009,1131.5,1,0.407127657,0.903401381
370.02,844.17,1,0.295278014,0.929271655
370.011,624.82,1,0.21415966,0.948356673
370.011,459.83,1,0.155313947,0.962368269
370.004,337.01,1,0.112633352,0.972609361
370.013,246.27,1,0.081676859,0.980086905
370.015,179.58,1,0.059228559,0.985545219
370.013,130.75,1,0.042950839,0.989514458
370.011,95.087,1,0.031145664,0.992379988
370.022,69.094,1,0.022583422,0.994471019
370.016,50.181,1,0.016376809,0.995998319
370.018,36.434,1,0.01187724,0.997097305
360.023,1446,1,0.561590334,0.86017637
360.014,1094,1,0.407325836,0.897273952
360.016,817.83,1,0.295426648,0.924827327
360.01,606.15,1,0.214263254,0.94511996
360.01,446.51,1,0.155386012,0.960005652
360.006,327.49,1,0.112687401,0.970916827
360.01,239.43,1,0.081717395,0.97885547
360.016,174.66,1,0.059260088,0.984642212
360.016,127.2,1,0.04297336,0.988860622
360.016,92.515,1,0.031159177,0.991912728
360.022,67.244,1,0.022596934,0.99413204
360.019,48.84,1,0.016385817,0.995752054
360.016,35.456,1,0.011881744,0.996911987
350.018,1391.5,1,0.561838058,0.851041548
350.012,1056.2,1,0.407496991,0.890651715
350.013,791.28,1,0.295548258,0.919997603
350.011,587.35,1,0.214344327,0.941612839
350.007,433.13,1,0.155449069,0.957464091
