T,P,RHO,Pcal,DevP,B,C
343.15,1202,0.520979286906889,1200.25698618119,-0.145009469118961,-0.369421328661191,-0.000190615944372026
348.15,1229.7,0.520882303548723,1227.90433496119,-0.146024643311806,-0.355648440901057,-0.0013780434135178
353.15,1257,0.520785320190557,1255.25105863376,-0.13913614687636,-0.342711834570332,-0.00236965206856791
358.15,1283.8,0.520692003230111,1282.33527353409,-0.114093041432605,-0.330528270001339,-0.00319321174151803
328.15,895.7,0.391450355495052,894.633429235187,-0.119076785175063,-0.416660307727171,0.00489888735968744
333.15,916,0.391378894073245,914.941596048919,-0.115546282869155,-0.399829277064889,0.0029067704352853
338.15,936.1,0.391307432651438,935.015761503212,-0.115825071764528,-0.384117305054709,0.00122503494330431
343.15,955.7,0.39123086684236,954.864193260883,-0.0874549271860242,-0.369421328661191,-0.000190615944372026
348.15,975,0.391159405420553,974.524688496612,-0.0487498977834268,-0.355648440901057,-0.0013780434135178
353.15,994.1,0.391087943998746,994.00478041511,-0.00957847147066017,-0.342711834570332,-0.00236965206856791
358.15,1013,0.39101796468317,1013.32637666045,0.03221882136706,-0.330528270001339,-0.00319321174151803
328.15,709.5,0.296432186428557,709.23677632976,-0.0370998830499704,-0.416660307727171,0.00489888735968744
333.15,723.9,0.296381142555838,723.888360058382,-0.00160794883522967,-0.399829277064889,0.0029067704352853
338.15,738.1,0.296324994295847,738.387977871518,0.0390161050695214,-0.384117305054709,0.00122503494330431
343.15,752.1,0.296268846035856,752.757557658006,0.0874295516561475,-0.369421328661191,-0.000190615944372026
348.15,766,0.296212697775865,767.007724399076,0.131556710062094,-0.355648440901057,-0.0013780434135178
353.15,780.2,0.296156549515874,781.149125412471,0.121651552482877,-0.342711834570332,-0.00236965206856791
358.15,794.1,0.296100401255883,795.192945920475,0.137633285540236,-0.330528270001339,-0.00319321174151803
323.15,544.2,0.224261254791106,544.024539766267,-0.0322418658090603,-0.434729837415257,0.00725328712056255
328.15,554.5,0.22422041969293,554.75842098017,0.0466043246473791,-0.416660307727171,0.00489888735968744
333.15,564.7,0.224179584594755,565.400030322087,0.123964994171546,-0.399829277064889,0.0029067704352853
338.15,575.1,0.22413874949658,575.957435326669,0.149093257984528,-0.384117305054709,0.00122503494330431
343.15,585.5,0.224097914398405,586.437490610689,0.16011795229538,-0.369421328661191,-0.000190615944372026
348.15,595.8,0.224057079300229,596.846552817423,0.175655054955214,-0.355648440901057,-0.0013780434135178
353.15,606.3,0.224016244202054,607.190955871129,0.146949673615262,-0.342711834570332,-0.00236965206856791
358.15,616.5,0.223974077443026,617.473934400953,0.157978005020762,-0.330528270001339,-0.00319321174151803
323.15,422,0.169409509167224,421.74495142966,-0.0604380498434995,-0.434729837415257,0.00725328712056255
328.15,429.7,0.169378882843593,429.582358311608,-0.0273776328582166,-0.416660307727171,0.00489888735968744
333.15,437.3,0.169348256519961,437.365225127446,0.0149154190364534,-0.399829277064889,0.0029067704352853
338.15,445,0.16931763019633,445.098315647463,0.022093403924304,-0.384117305054709,0.00122503494330431
343.15,452.6,0.169287003872699,452.785680663016,0.0410253342942872,-0.369421328661191,-0.000190615944372026
348.15,460.1,0.169251273161795,460.41807386297,0.0691314633710765,-0.355648440901057,-0.0013780434135178
