T,P,X1,rho,RHOcal,P_cal,Dev_P,Dev_RHO,Var9,Var10
338.28,425.9,1,0.1589,0.158860947102636,425.999615566623,0.0233894263026301,-0.0245770279193066,-297.943775087275,20998.0838767923
338.28,313.3,1,0.1153,0.115321981078653,313.242372404589,-0.0183937425506151,0.019064248614922,-297.943775087275,20998.0838767923
338.28,229.5,1,0.0837,0.0836707819129525,229.578116896951,0.0340378635950468,-0.0349081087783155,-297.943775087275,20998.0838767923
338.28,167.6,1,0.0607,0.0606815034438732,167.650153980132,0.0299248091481888,-0.0304720858760502,-297.943775087275,20998.0838767923
338.28,122.1,1,0.044,0.0439865427008918,122.136862312285,0.0301902639519778,-0.0305847707003711,-297.943775087275,20998.0838767923
333.28,1697.6,1,0.7976,0.797364376693583,1697.95921027739,0.0211598891014347,-0.0295415379158892,-307.616086515495,21383.5457204996
333.28,1334.7,1,0.5815,0.581464733382357,1334.76488367935,0.0048612931257644,-0.00606476657653078,-307.616086515495,21383.5457204996
333.28,1023.7,1,0.4228,0.422804740196224,1023.69013092378,-0.000964059414297461,0.00112114385619314,-307.616086515495,21383.5457204996
333.28,772.2,1,0.3071,0.30705312431331,772.306139421522,0.0137450688321258,-0.0152639813382489,-307.616086515495,21383.5457204996
333.28,575.8,1,0.2228,0.222830936583036,575.725752580502,-0.0128946543067174,0.0138853604291919,-307.616086515495,21383.5457204996
333.28,425.9,1,0.1617,0.161645170665258,426.037075887452,0.0321849935317481,-0.0339080610651008,-307.616086515495,21383.5457204996
333.28,313.3,1,0.1173,0.117258001284956,313.408084883901,0.0344988458032003,-0.0358045311543978,-307.616086515495,21383.5457204996
333.28,229.5,1,0.085,0.085032468788308,229.414692464789,-0.0371710393075267,0.0381985744799464,-307.616086515495,21383.5457204996
333.28,167.6,1,0.0616,0.0616471171122043,167.474355574814,-0.0749668408028205,0.0764888185134752,-307.616086515495,21383.5457204996
333.28,122.1,1,0.0447,0.0446752017062977,122.166836207125,0.0547389083740798,-0.0554771671192196,-307.616086515495,21383.5457204996
328.3,1871.4,1,0.9599,0.958226894643186,1873.4571377673,0.10992507039126,-0.174299964247732,-317.705187404389,21685.8972382509
328.3,1652.4,1,0.7962,0.79548683719046,1653.44247280131,0.063088404823944,-0.0895708125520713,-317.705187404389,21685.8972382509
328.3,1452.4,1,0.6673,0.666996113477425,1452.90187994347,0.0345552150556084,-0.045539715656337,-317.705187404389,21685.8972382509
328.3,1104.8,1,0.4738,0.473742974492962,1104.91107174006,0.010053560830814,-0.0120357760738263,-317.705187404389,21685.8972382509
328.3,828.9,1,0.3395,0.339423099279011,829.066206276099,0.0200514267221017,-0.0226511696579066,-317.705187404389,21685.8972382509
328.3,615.8,1,0.2442,0.244234744536438,615.719509707257,-0.0130708497471917,0.0142279018993459,-317.705187404389,21685.8972382509
328.3,454.3,1,0.1762,0.176175910895098,454.358525561381,0.0128825800971044,-0.0136714556766192,-317.705187404389,21685.8972382509
328.3,333.5,1,0.1273,0.127280501252238,333.548975378591,0.0146852709419385,-0.0153171624210728,-317.705187404389,21685.8972382509
328.3,244,1,0.0921,0.0920657946019634,244.087956177784,0.0360476138458467,-0.0371394115489977,-317.705187404389,21685.8972382509
328.3,178,1,0.0666,0.0666139833804689,177.963435132772,-0.0205420602404384,0.0209960667701642,-317.705187404389,21685.8972382509
323.31,1657.6,1,0.832,0.830581800707635,1659.50440195981,0.114889114370873,-0.170456645716944,-328.301980930534,21884.7811784608
323.31,1334.7,1,0.6163,0.615963112354182,1335.26180465634,0.0420922047156133,-0.0546629313351301,-328.301980930534,21884.7811784608
323.31,1023.7,1,0.4436,0.443483269349006,1023.9264553558,0.0221212616780927,-0.0263143938218344,-328.301980930534,21884.7811784608
323.31,772.2,1,0.3202,0.320205936386848,772.187289874274,-0.00164596292748206,0.00185396216378087,-328.301980930534,21884.7811784608
323.31,575.8,1,0.2315,0.231528164857954,575.735531837332,-0.0111962769483137,0.0121662453365416,-328.301980930534,21884.7811784608
323.31,425.9,1,0.1676,0.167550943102674,426.017604491002,0.0276131699933852,-0.0292702251347188,-328.301980930534,21884.7811784608
323.31,313.3,1,0.1214,0.121344453233176,313.43756169003,0.0439073380242389,-0.0457551621282123,-328.301980930534,21884.7811784608
323.31,229.5,1,0.0879,0.0878969349888493,229.507767805727,0.00338466480486079,-0.00348692963673268,-328.301980930534,21884.7811784608
323.31,167.6,1,0.0637,0.0636736001806515,167.668017418764,0.0405831854201413,-0.0414439864183053,-328.301980930534,21884.7811784608
323.31,122.1,1,0.0461,0.0461180432747204,122.052959021156,-0.0385266001997391,0.0391394245561554,-328.301980930534,21884.7811784608
318.31,1503.2,1,0.7506,0.749355070196992,1504.9392851619,0.115705505714714,-0.165857954037785,-339.444073761461,21952.3825845452
318.31,1469.5,1,0.7266,0.725561533731563,1470.98903888398,0.10132962803555,-0.142921314125617,-339.444073761461,21952.3825845452
318.31,1345.7,1,0.6436,0.642964174501535,1346.69372320417,0.0738443341140814,-0.0987920289721831,-339.444073761461,21952.3825845452
318.31,1152.6,1,0.5266,0.526348777161811,1153.03937415005,0.0381202628882194,-0.0477065777039735,-339.444073761461,21952.3825845452
318.31,982.5,1,0.4333,0.43313498704947,982.813672961575,0.0319260011780687,-0.0380828411099976,-339.444073761461,21952.3825845452
318.31,894.2,1,0.3877,0.387587471182382,894.422386407582,0.0248698733596773,-0.0290247143715147,-339.444073761461,21952.3825845452
318.31,552.1,1,0.2257,0.225640881590093,552.233014489947,0.0240924633122754,-0.0261933583991999,-339.444073761461,21952.3825845452
318.31,482.6,1,0.1951,0.195108880073368,482.579552351802,-0.00423697641895716,0.00455154965024818,-339.444073761461,21952.3825845452
318.31,332.5,1,0.1315,0.131450408284997,332.619681960992,0.0359945747344908,-0.0377123308006676,-339.444073761461,21952.3825845452
318.31,285.6,1,0.1122,0.112152421254539,285.716434758919,0.0407684730109982,-0.0424052989852363,-339.444073761461,21952.3825845452
313.33,1336.3,1,0.6602,0.659294781263663,1337.63302312177,0.0997547797481768,-0.137112804655757,-351.100830992432,21856.0412154019
313.33,1018,1,0.4645,0.464249265965623,1018.44943734925,0.0441490519890763,-0.053979340016512,-351.100830992432,21856.0412154019
313.33,975.2,1,0.4408,0.440634878292452,975.502520473609,0.0310213775234919,-0.0374595525291538,-351.100830992432,21856.0412154019
313.33,837.4,1,0.368,0.367864582426677,837.664768591837,0.0316179354952467,-0.036798253620267,-351.100830992432,21856.0412154019
313.33,764.5,1,0.3312,0.331169664447351,764.561218249597,0.00800761930635949,-0.0091592852199837,-351.100830992432,21856.0412154019
313.33,568.4,1,0.2378,0.237732564971675,568.546998375175,0.0258617831060926,-0.0283578756621986,-351.100830992432,21856.0412154019
313.33,419.7,1,0.1713,0.171296190276695,419.70875017437,0.00208486403854319,-0.0022240065998204,-351.100830992432,21856.0412154019
313.33,308.3,1,0.1237,0.12367105200447,308.368939681809,0.022361233152361,-0.0234017748830671,-351.100830992432,21856.0412154019
313.33,225.6,1,0.0894,0.0893873919568512,225.630801252611,0.0136530375049196,-0.0141029565423299,-351.100830992432,21856.0412154019
313.33,164.7,1,0.0647,0.0646840025375412,164.739794040931,0.0241615306200097,-0.0247255988543362,-351.100830992432,21856.0412154019
308.32,1018,1,0.478,0.477697987992653,1018.51673131181,0.0507594608854671,-0.0631824283153595,-363.432645013037,21554.555726065
308.32,975.2,1,0.4532,0.452991177349785,975.566121721122,0.0375432445777509,-0.046077372068621,-363.432645013037,21554.555726065
308.32,837.4,1,0.3773,0.377221291370705,837.548297492145,0.0177092777818847,-0.0208610202212472,-363.432645013037,21554.555726065
308.32,764.5,1,0.3393,0.339199599614252,764.695825345568,0.025614826104335,-0.0295904467279172,-363.432645013037,21554.555726065
308.32,568.4,1,0.2429,0.242854357540424,568.496794749636,0.0170293366706427,-0.0187906379482414,-363.432645013037,21554.555726065
