T,P,X1,rho,RHOcal,P_cal,Dev_P,Dev_RHO,Bm,Cm
358.15,1.2838,1283.8,102.007,6.87703869809807e-05,6.15329058217465e+18,4.79302896259126e+20,-99.9999325826787,-57264.667602638,1946801868.10233
363.15,1.3104,1310.4,101.988,7.26174175198292e-05,6.30172974169234e+18,4.80901231814129e+20,-99.9999287980767,-74338.2814208622,1967413948.83728
368.15,1.3368,1336.8,101.969,7.53766118440638e-05,6.41081110335123e+18,4.79563966438602e+20,-99.9999260788947,-85298.3903874222,1975390516.83896
373.15,1.363,1363,101.949,7.61796350014054e-05,6.47955755958769e+18,4.75389402757717e+20,-99.9999252767217,-87574.056439241,1970980241.20534
378.15,1.3891,1389.1,101.93,7.42337183478412e-05,6.50909381157134e+18,4.68583529736617e+20,-99.9999271718647,-78414.3503168696,1954877779.13728
383.15,1.4151,1415.1,101.91,6.91592180953763e-05,6.49840675647243e+18,4.59218907248423e+20,-99.9999321369658,-54879.7428107514,1927333473.38316
388.15,1.441,1441,101.89,6.14122715698536e-05,6.44711612606628e+18,4.47405699241241e+20,-99.9999397268902,-13874.4825161116,1888601510.28418
393.15,1.4668,1466.8,101.871,5.24191925017357e-05,6.35489039194859e+18,4.3324859503331e+20,-99.9999485435575,47832.9719525669,1838937847.01273
328.15,0.8957,895.7,76.689,5.70410898270709e-05,9.74205446939886e+17,1.08764703242144e+20,-99.9999256202456,38208.9372558847,791676462.493168
333.15,0.916,916,76.675,5.8783094901266e-05,1.0454297924701e+18,1.14129890007653e+20,-99.9999233347311,29473.0607910297,837264325.782951
338.15,0.9361,936.1,76.661,6.13937289891873e-05,1.10920713535829e+18,1.18492376386956e+20,-99.9999199153038,18285.2388165114,875686773.43247
343.15,0.9557,955.7,76.646,6.49129130655735e-05,1.16415266199802e+18,1.21811516375224e+20,-99.999915308153,5266.18431513483,906205097.174191
348.15,0.975,975,76.632,6.93137851295374e-05,1.21083860676602e+18,1.24188575052925e+20,-99.9999095498158,-8747.5819688816,929519528.669693
353.15,0.9941,994.1,76.618,7.44394428414242e-05,1.24945159276905e+18,1.25686710871044e+20,-99.9999028434012,-22761.9440828197,946099935.741754
